id,title,description,availability,condition,price,link,image_link,brand,custom_label_0,custom_label_1
viatec-2109,Електромеханічна клямка,"Електромеханічна клямка - нормально закрита (при подачі напруги - відкриває замок), з фіксатором. Нержавіюча сталь. Розмір: 130x24x30.5 мм, живлення: 12 В.",in stock,new,668.00 UAH,https://alt-cam.net.ua/?product=00000000276#quiz,https://viatec.ua/upload/images/prod/photo_2022-01-14_09-24-07.webp,Yli Electronic,access_control,ALT-CAM retail
viatec-2110,Електромеханічна клямка,Електромеханічна клямка,in stock,new,754.00 UAH,https://alt-cam.net.ua/?product=00000001239#quiz,https://viatec.ua/upload/images/prod/DK033BWIT.jpg,Yli Electronic,access_control,ALT-CAM retail
viatec-2124,Ригельний замок,"Замок електроригельний з магнітною функцією, виразний, NO (з живленням закритий), живлення: 12В DC, пуск: 900mA, в робочому режимі: 150mA. Підходить для дерев&#39;яної, скляної, металевої та протипожежних дверей. 205х35х40 мм",in stock,new,1364.00 UAH,https://alt-cam.net.ua/?product=99-00004753#quiz,https://viatec.ua/upload/images/prod/YB-100S.jpg,Yli Electronic,access_control,ALT-CAM retail
viatec-2147,Контактна кнопка виходу,"Кнопка виходу, врізна, NO/NC/COM, алюміній, макс. струм комутації 3А, 86х50х20мм,&nbsp; До кнопки виходу підходять монтажні коробки: MBB-800A-M, MBB-811B-M",in stock,new,441.00 UAH,https://alt-cam.net.ua/?product=99-00005176#quiz,https://viatec.ua/upload/images/prod/ABK-800A.jpg,Yli Electronic,access_control,ALT-CAM retail
viatec-2148,Контактна кнопка виходу,"Кнопка виходу, врізна, NO / NC / COM, алюміній, макс.ток комутації 3А, 86х86х20мм. Підходять монтажні коробки: MBB-800B-M, MBB-800B-P, MBB-800B-PM, MBB-811C-M.",in stock,new,441.00 UAH,https://alt-cam.net.ua/?product=99-00005287#quiz,https://viatec.ua/upload/images/prod/ABK-800B.jpg,Yli Electronic,access_control,ALT-CAM retail
viatec-2178,Зчитувач Hikvision,"Mifare кардрідер з кодовою клавіатурою. Процесор 32bit, підтримка карт Mifare (13.56Mhz), протокол підключення: RS-485, wiegand. Функції: тривога. IP65, DC 12В / 500мА, 118х76х23 мм, 520г",in stock,new,3537.00 UAH,https://alt-cam.net.ua/?product=00-00000160#quiz,https://viatec.ua/upload/images/prod/DS-K1104MK.JPG,Hikvision,access_control,ALT-CAM retail
viatec-2180,Зчитувач Hikvision,"DS-K1801E &ndash; функціональний зчитувач, що встановлюється на пропускних точках контролю. Наприклад &ndash; на вході до будівлі. Працює на основі авторизації карт найпоширенішого стандарту Em-Marine. Пристрій здатний з точністю рахувати дані з чіпа за мінімальний час. Для цього достатньо піднести брелок або картку до передньої поверхні. Сигнал до основної системи пропуску подається через Wiegand-інтерфейс. Кардрідер від Hikvision відрізняється наявністю світлодіодного та звукового індикатора, приємним білим дизайном та економним споживанням. Для точності та продуктивності, управління виробляє 8-бітний процесор. DS-K1801E інтегрується в контрольне обладнання для будинків, офісів та комерційних приміщень. Показує високу ефективність та зручність у використанні.",in stock,new,945.00 UAH,https://alt-cam.net.ua/?product=00000001401#quiz,https://viatec.ua/upload/images/prod/DS-K1801E.JPG,Hikvision,access_control,ALT-CAM retail
viatec-2181,Зчитувач Hikvision,● Стандарт IP64;● Mifare;● Доступ по картці;● RS485 \ Wiegand;● Тампер - вбудований;● 12V DC;● Використання на вилуці\в приміщенні,in stock,new,1305.00 UAH,https://alt-cam.net.ua/?product=00000001481#quiz,https://viatec.ua/upload/images/prod/DS-K1101M.JPG,Hikvision,access_control,ALT-CAM retail
viatec-2185,Зчитувач Dahua,Стандарт IK08;Mifare;Доступ за картою/паролем;RS485\Wiegand34;Тампер;12V DC;Використання у приміщенні,in stock,new,2610.00 UAH,https://alt-cam.net.ua/?product=10000001042#quiz,https://viatec.ua/upload/images/2018-02-26/ASR1101M.webp,Dahua,access_control,ALT-CAM retail
viatec-2202,Зчитувач Dahua,Стандарт IP66;Mifare;Доступ по карті;RS485\Wiegand34;12V DC;Використання на вулиці,in stock,new,1125.00 UAH,https://alt-cam.net.ua/?product=00-00000306#quiz,https://viatec.ua/upload/images/2018-02-26/ASR1200E.webp,Dahua,access_control,ALT-CAM retail
viatec-2248,Контролер управління ліфтами,"DHI-VTM416 &ndash; центральний контролер, призначений для керування системою ліфтів. Найчастіше встановлюється в готелях, бізнес-центрах, інколи ж і в житлових багатоповерхових будинках. Підтримує контроль до 128 поверхів, з можливістю підключення до блоків та модулів виклику, зчитувачів та інших пристроїв безпосередньої взаємодії. Для налаштування використовується програма та з'єднання з комп'ютером. Головна мета DHI-VTM416 &ndash; досягти кращого рівня безпеки та обмежити доступ до використання ліфтів або конкретних поверхів, що знаходяться під охороною. Наприклад, у готельних комплексах застосовуються карти співробітників та постояльців, а в офісних будівлях певна область може відкриватися лише для довірених користувачів.",in stock,new,9450.00 UAH,https://alt-cam.net.ua/?product=00-00000092#quiz,https://viatec.ua/upload/images/prod/2024-02/image.psd%284%29.webp,Dahua,access_control,ALT-CAM retail
